id,youtube,instagram,twitter
Anne Hidalgo,504,35712,120850
Emmanuel Macron,20069,1845294,1675413
Fabien Roussel,,27958,520229
Jean Lassalle,20431,152122,140066
Jean-Luc Mélenchon,440163,575789,1171937
Marine Le Pen,18130,305445,733557
Nathalie Arthaud,2324,8964,60215
Nicolas Dupont-Aignan,74209,35631,547570
Philippe Poutou,,46564,399628
Valérie Pécresse,3510,90674,182579
Yannick Jadot,2862,133056,207689
Éric Zemmour,929213,3438666,5111052
