id,count
Éric Zemmour,1647
Jean-Luc Mélenchon,1326
Marine Le Pen,948
Yannick Jadot,918
Nicolas Dupont-Aignan,781
Fabien Roussel,667
Anne Hidalgo,577
Valérie Pécresse,397
Emmanuel Macron,241
Philippe Poutou,162
Jean Lassalle,147
Nathalie Arthaud,130
